label,message,target,char_count,word_count,num_sentences,clean_message
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,155,24,3,england macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtú poboxox wq
ham,Is that seriously how you spell his name?,0,41,8,2,serious spell name
ham,I‘m going to try for 2 months ha ha only joking,0,47,11,1,go tri month ha ha joke
ham,So ü pay first lar... Then when is da stock comin...,0,52,11,3,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,20,4,aft finish lunch go str lor ard smth lor finish ur lunch alreadi
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,11,3,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,28,6,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
ham,Lol your always so convincing.,0,30,5,2,lol alway convinc
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,32,6,catch bu fri egg make tea eat mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,15,1,im back amp pack car ill let know there room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,12,5,ahhh work vagu rememb feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,26,1,wait that still clear sure sarcast that doesnt want live u
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,188,41,7,yeah got apologet fallen actin like spoilt child got caught till wont go badli cheer
ham,K tell me anything about you.,0,29,6,2,tell anyth
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,17,2,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,158,29,2,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,122,28,3,yup ok go home look time msg xuhui go learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",0,47,9,1,oop ill let know roommat done
ham,I see the letter B on my car,0,28,8,1,see letter car
ham,Anything lor... U decide...,0,27,4,3,anyth lor decid
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,30,5,hello how saturday go text see youd decid anyth tomo im tri invit anyth
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,17,4,pl go ahead watt want sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,34,6,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,33,2,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,WHO ARE YOU SEEING?,0,19,4,2,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,13,4,great hope like man well endow ltgt inch
ham,No calls..messages..missed calls,0,32,3,3,callsmessagesmiss call
ham,Didn't you get hep b immunisation in nigeria.,0,45,8,2,didnt get hep immunis nigeria
ham,"Fair enough, anything going on?",0,31,5,2,fair enough anyth go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,14,1,yeah hope tyler cant could mayb ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,30,5,dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
ham,What you thinked about me. First time you saw me in class.,0,58,12,3,think first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,23,1,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,16,1,fyi ride earli tomorrow morn he crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,289,55,7,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,22,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,13,2,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,160,27,8,congrat year special cinema pa call suprman matrix starwar etc free bx ip pm dont miss
ham,"Sorry, I'll call later in meeting.",0,34,6,2,sorri ill call later meet
ham,Tell where you reached,0,22,4,1,tell reach
ham,Yes..gauti and sehwag out of odi series.,0,40,7,3,yesgauti sehwag odi seri
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,23,4,gon na pick burger way home cant even move pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,0,48,9,3,ha ha ha good joke girl situat seeker
ham,Its a part of checking IQ,0,25,6,1,part check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,56,12,2,sorri roommat took forev ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,24,3,ok lar doubl check wif da hair dresser alreadi said wun cut short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,152,28,2,valu custom pleas advis follow recent review mob award bonu prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,122,23,4,today song dedic day song dedic send ur valuabl frnd first rpli
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,159,22,4,urgent ur award complimentari trip eurodisinc trav acoentri claim txt di morefrmmob shracomorsglsuplt l aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,78,15,3,hear new divorc barbi come ken stuff
ham,I plane to give on this month end.,0,34,8,2,plane give month end
ham,Wah lucky man... Then can save money... Hee...,0,46,8,4,wah lucki man save money hee
ham,Finished class where are you.,0,29,5,2,finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,10,2,hi babe im home wan na someth xx
ham,K..k:)where are you?how did you performed?,0,42,6,4,kkwhere youhow perform
ham,U can call me now...,0,20,5,2,call
ham,I am waiting machan. Call me once you free.,0,43,9,3,wait machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,14,3,that cool gentleman treat digniti respect
ham,I like you peoples very much:) but am very shy pa.,0,50,11,2,like peopl much shi pa
ham,Does not operate after  &lt;#&gt;  or what,0,42,7,1,oper ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,16,4,still look job much ta earn
ham,"Sorry, I'll call later",0,22,4,1,sorri ill call later
ham,K. Did you call me just now ah?,0,31,8,3,call ah
ham,Ok i am on the way to home hi hi,0,32,10,1,ok way home hi hi
ham,You will be in the place of that man,0,36,9,1,place man
ham,Yup next stop.,0,14,3,2,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",0,55,11,3,call later dont network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,26,4,real get yo need ticket one jacket im done alreadi use multi
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,31,4,ye start send request make pain came back im back bed doubl coin factori got ta cash nitro
ham,I'm really not up to it still tonight babe,0,42,9,1,im realli still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,41,7,3,ela kanoil download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,58,10,3,yeah stand close tho catch someth
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,194,39,5,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff moro includ time sheet sorri
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,26,2,smile pleasur smile pain smile troubl pour like rain smile sum hurt smile becoz someon still love see smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,137,23,2,pleas call custom servic repres pm guarante cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,20,4,havent plan buy later check alreadi lido got show afternoon finish work alreadi
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,158,29,5,free rington wait collect simpli text password mix verifi get usher britney fml po box mk ppw
ham,Watching telugu movie..wat abt u?,0,33,5,3,watch telugu moviewat abt
ham,i see. When we finish we have loads of loans to pay,0,51,12,2,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,178,38,6,hi wk ok hol ye bit run forgot hairdress appoint four need get home shower beforehand caus prob
ham,I see a cup of coffee animation,0,31,7,1,see cup coffe anim
ham,Please don't text me anymore. I have nothing else to say.,0,57,11,3,pleas dont text anymor noth els say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,21,3,okay name ur price long legal wen pick ave am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,16,3,im still look car buy gone drive test yet
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,36,6,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,0,44,10,1,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,17,3,thank lot wish birthday thank make birthday truli memor
ham,"Aight, I'll hit you up when I get some cash",0,43,10,1,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,82,14,1,would ip address test consid comput isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,24,5,know grumpi old peopl mom like better lie alway one play joke
ham,Dont worry. I guess he's busy.,0,30,6,3,dont worri guess he busi
ham,What is the plural of the noun research?,0,40,8,2,plural noun research
ham,Going for dinner.msg you after.,0,31,5,3,go dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,24,4,im ok wif co like tri new thing scare dun like mah co said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,158,27,7,gent tri contact last weekend draw show prize guarante call claim code valid hr ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,24,5,wa ur openin sentenc formal anyway im fine juz tt im eatin much puttin weighthaha anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,32,7,enter cabin pa said happi bday bo felt special askd lunch lunch invit apart went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),1,151,27,1,winner special select receiv holiday flight inc speak live oper claim pmin
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0,71,12,3,goodo ye must speak friday eggpotato ratio tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,15,4,hmmmi uncl inform he pay school directli pl buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,20,3,privat account statement show unredeem bonu point claim call identifi code expir
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,156,26,4,urgent mobil award bonu caller prize final tri contact call landlin box wr ppm
ham,here is my new address -apples&pairs&all that malarky,0,53,8,1,new address applespairsal malarki
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,27,2,today voda number end select receiv award match pleas call quot claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12,0,51,13,2,go sao mu today done
ham,Ü predict wat time ü'll finish buying?,0,38,7,2,predict wat time üll finish buy
ham,"Good stuff, will do.",0,20,4,2,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,46,5,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
ham,Are you there in room.,0,22,5,2,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,27,5,hey girl hope well del bak long time give call sum time lucyxx
ham,K..k:)how much does it cost?,0,28,5,3,kkhow much cost
ham,I'm home.,0,9,2,2,im home
ham,"Dear, will call Tmorrow.pls accomodate.",0,39,5,3,dear call tmorrowpl accomod
ham,First answer my question.,0,25,4,2,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,125,25,5,sunshin quiz wkli win top soni dvd player know countri algarv txt ansr sptyron
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,28,7,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec
ham,I only haf msn. It's yijue@hotmail.com,0,38,6,3,haf msn
ham,He is there. You call and meet him,0,34,8,2,call meet
ham,No no. I will check all rooms befor activities,0,46,9,2,check room befor activ
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,32,2,youll rcv msg chat svc free hardcor servic text go get noth must age verifi yr network tri
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,85,20,5,got lazi type forgot lect saw pouch like nice
ham,"K, text me when you're on the way",0,33,8,1,text your way
ham,"Sir, Waiting for your mail.",0,27,5,2,sir wait mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,156,26,4,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
ham,I know you are. Can you pls open the back?,0,42,10,3,know pl open back
ham,Yes see ya not on the dot,0,25,7,1,ye see ya dot
ham,Whats the staff name who is taking class for us?,0,48,10,2,what staff name take class u
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,29,4,freemsg havent repli text im randi sexi femal live local luv hear netcollex ltd per msg repli stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,15,4,ummmawil call check inour life begin qatar pl pray hard
ham,K..i deleted my contact that why?,0,33,6,3,ki delet contact
ham,Sindu got job in birla soft ..,0,30,7,2,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,0,45,9,2,wine flow im never
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,15,2,yup thk cine better co need go plaza mah
ham,Ok... Ur typical reply...,0,25,4,3,ok ur typic repli
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,80,7,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
ham,Aaooooright are you at work?,0,28,5,2,aaooooright work
ham,I'm leaving my house now...,0,27,5,2,im leav hous
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,33,8,hello love get interview today happi good boy think mear miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,19,3,custom servic annonc new year deliveri wait pleas call arrang deliveri
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,145,27,1,winner special select receiv cash holiday flight inc speak live oper claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,24,1,keep safe need miss alreadi envi everyon see real life
ham,New car and house for my parents.:)i have only new job in hand:),0,64,13,2,new car hous parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,19,4,im love im excit day spend make happi
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,24,5,pl stop bootydeli invit friend repli ye see stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,30,5,bangbab ur order way receiv servic msg download ur content goto wap bangb tv ur mobil internetservic menu
ham,I place all ur points on e cultures module already.,0,51,10,2,place ur point cultur modul alreadi
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,156,27,6,urgent tri contact last weekend draw show prize guarante call claim code valid hr
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,13,2,hi frnd best way avoid missunderstd wit belov one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,0,66,13,3,great escap fanci bridg need lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,0,59,10,2,ye complet formclark also utter wast
ham,"Sir, I need AXIS BANK account no and bank address.",0,50,10,2,sir need axi bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0,93,20,5,hmmm thk sure got time hop ard ya go free abt muz call discu liao
ham,What time you coming down later?,0,32,6,2,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0,104,21,3,bloodi hell cant believ forgot surnam mr ill give clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,11,4,well im gon na finish bath goodfin night
ham,Let me know when you've got the money so carlos can make the call,0,65,14,1,let know youv got money carlo make call
ham,U still going to the mall?,0,26,6,2,still go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,30,1,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,0,66,16,2,text doesnt repli let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,25,5,hi spoke maneesha wed like know satisfi experi repli toll free ye
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,31,4,lift hope offer money need especi end month approach hurt studi anyway gr weekend
ham,Lol no. U can trust me.,0,23,6,3,lol trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,65,13,3,ok gentleman treat digniti respect
ham,"He will, you guys close?",0,24,5,2,guy close
ham,Going on nothing great.bye,0,26,4,2,go noth greatby
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,32,7,hello handsom find job lazi work toward get back net mummi where boytoy miss
ham,"Haha awesome, be there in a minute",0,34,7,1,haha awesom minut
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,147,24,2,pleas call custom servic repres freephon pm guarante cash prize
ham,Have you got Xmas radio times. If not i will get it now,0,55,13,2,got xma radio time get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,19,4,ju reach home go bath first si use net tell finish
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,10,6,uniqu enough find th august
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,38,6,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week
ham,Hi :)finally i completed the course:),0,37,6,1,hi final complet cours
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,22,3,stop howev suggest stay someon abl give or everi stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,19,3,hope youv settl new school year wishin gr day
ham,Gud mrng dear hav a nice day,0,28,7,1,gud mrng dear hav nice day
ham,Did u got that persons story,0,28,6,1,got person stori
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,0,63,14,3,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,30,4,hi kate even hope see tomorrow bit bloodi babyjontet txt back xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",0,40,8,2,found enc ltgt
ham,I sent you  &lt;#&gt;  bucks,0,28,5,1,sent ltgt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,18,1,hello darlin ive finish colleg txt finish love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,26,4,account refil success inr ltdecimalgt keralacircl prepaid account balanc r ltdecimalgt transact id kr ltgt
ham,Goodmorning sleeping ga.,0,24,3,2,goodmorn sleep ga
ham,U call me alter at 11 ok.,0,25,7,2,call alter ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,63,13,2,say like dat dun buy ericsson oso oredi lar
ham,"Aight yo, dats straight dogg",0,28,5,1,aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,86,13,1,pleas give u connect today ltdecimalgt refund bill
ham,Both :) i shoot big loads so get ready!,0,39,9,2,shoot big load get readi
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,73,14,3,what bruv hope great break reward semest
ham,Home so we can always chat,0,26,6,1,home alway chat
ham,K:)k:)good:)study well.,0,23,2,2,kkgoodstudi well
ham,Yup... How ü noe leh...,0,23,5,3,yup noe leh
ham,Sounds great! Are you home now?,0,31,6,3,sound great home
ham,Finally the match heading towards draw as your prediction.,0,58,9,2,final match head toward draw predict
ham,Tired. I haven't slept well the past few nights.,0,48,9,3,tire havent slept well past night
ham,Easy ah?sen got selected means its good..,0,41,7,3,easi ahsen got select mean good
ham,I have to take exam with march 3,0,32,8,1,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,159,35,5,yeah think use gt atm regist sure there anyway help let know sure readi
ham,Ok no prob. Take ur time.,0,25,6,3,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,161,30,3,o call ubandu run without instal hard diskyou use o copi import file system give repair shop
